id,name,shortDescription,longDescription,creationDate,publishedDate,lastModifiedDate,linkURL,linkText,tags,videoStillURL,thumbnailURL,referenceId,length,economics,playsTotal,playsTrailingWeek,FLVFullLength,videoFullLength
"2301271105001","Capriles: Nosotros no vamos a reconocer ningún resultado","Capriles: Nosotros no vamos a reconocer ningún resultado","","1366003345859","1366003345859","1366003754377","","","","http://brightcove.vo.llnwd.net/e1/pd/986049905001/986049905001_2301335051001_vs-516b8e91e4b0eb435d8d534c-767904719001.jpg?pubId=986049905001","http://brightcove.vo.llnwd.net/e1/pd/986049905001/986049905001_2301335052001_th-516b8e91e4b0eb435d8d534c-767904719001.jpg?pubId=986049905001","","986965","AD_SUPPORTED","6885","0","","",
"1513144164001","El iPad 3 sale a la venta","El iPad 3 sale a la venta","","1331917157455","1331917157455","1331918722883","","","","http://brightcove.vo.llnwd.net/e1/pd/986049905001/986049905001_1513161047001_vs-1513146835001.jpg?pubId=986049905001","http://brightcove.vo.llnwd.net/e1/pd/986049905001/986049905001_1513161048001_th-1513146835001.jpg?pubId=986049905001","","57840","AD_SUPPORTED","0","0","","",
"1913279037001","Alfonso León edición aniversario","Alfonso León edición aniversario","","1350680037752","1350680037752","1350680262188","","","","http://brightcove.vo.llnwd.net/e1/pd/986049905001/986049905001_1913330642001_vs-5081bde6afc3b0e4d71a00d1-590065947001.jpg?pubId=986049905001","http://brightcove.vo.llnwd.net/e1/pd/986049905001/986049905001_1913330643001_th-5081bde6afc3b0e4d71a00d1-590065947001.jpg?pubId=986049905001","","48879","AD_SUPPORTED","1142","0","","",
"1515900772001","Sindicatos oficialistas se concentraron en apoyo a nueva Ley Orgánica del Trabajo 2","Sindicatos oficialistas se concentraron en apoyo a nueva Ley Orgánica del Trabajo 2","","1332021154512","1332021154512","1332021861611","","","","http://brightcove.vo.llnwd.net/e1/pd/986049905001/986049905001_1515952587001_vs-1515942251001.jpg?pubId=986049905001","http://brightcove.vo.llnwd.net/e1/pd/986049905001/986049905001_1515952588001_th-1515942251001.jpg?pubId=986049905001","","307897","AD_SUPPORTED","300","0","","",
"1556221796001","Gobierno de Colombia confima que Chávez asistirá a la Cumbre","Gobierno de Colombia confima que Chávez asistirá a la Cumbre","","1334149396098","1334149396098","1334149966815","","","","http://brightcove.vo.llnwd.net/e1/pd/986049905001/986049905001_1556289402001_vs-1556245102001.jpg?pubId=986049905001","http://brightcove.vo.llnwd.net/e1/pd/986049905001/986049905001_1556289403001_th-1556245102001.jpg?pubId=986049905001","","121320","AD_SUPPORTED","214","0","","",
"2188968042001","Discurso Raúl Castro","Discurso Raúl Castro","","1361824211673","1361824211673","1361824338443","","","","http://brightcove.vo.llnwd.net/e1/pd/986049905001/986049905001_2189018201001_vs-512bc9d3e4b0dbe42e3d5b2e-782203290001.jpg?pubId=986049905001","http://brightcove.vo.llnwd.net/e1/pd/986049905001/986049905001_2189018202001_th-512bc9d3e4b0dbe42e3d5b2e-782203290001.jpg?pubId=986049905001","","79200","AD_SUPPORTED","165","0","","",
"2743795482001","Bienestar al Día - ENTRENAMIENTO HP LATINO","Bienestar al Día - ENTRENAMIENTO HP LATINO","","1381786579062","1381786579062","1383329183277","","","","http://brightcove.vo.llnwd.net/d21/unsecured/media/986049905001/201310/214/986049905001_2748433457001_video-still-for-video-2743795482001.jpg?pubId=986049905001","http://brightcove.vo.llnwd.net/d21/unsecured/media/986049905001/201310/1214/986049905001_2748433456001_thumbnail-for-video-2743795482001.jpg?pubId=986049905001","","363973","AD_SUPPORTED","16","2","","",
"1346692407001","Chávez: El precandidato","Chávez: El precandidato","","1324836494933","1324836494933","1324919266178","","","","http://brightcove.vo.llnwd.net/e1/pd/986049905001/986049905001_1347773541001_ari-origin06-arc-159-1324919056196.jpg?pubId=986049905001","http://brightcove.vo.llnwd.net/e1/pd/986049905001/986049905001_1347773540001_ari-origin06-arc-159-1324919055829.jpg?pubId=986049905001","","273880","AD_SUPPORTED","7911","3","","",
"1178328416001","Llegada del Presidente Chávez de Cuba (23/09/11)","Llegada del Presidente Chávez de Cuba, tras cuarta quimioterapia (23/09/11)","","1316798587134","1316798705856","1317749617882","","","","http://brightcove.vo.llnwd.net/e1/pd/986049905001/986049905001_1178405798001_vs-1178372437001.jpg?pubId=986049905001","http://brightcove.vo.llnwd.net/e1/pd/986049905001/986049905001_1178405799001_th-1178372437001.jpg?pubId=986049905001","","1719887","AD_SUPPORTED","2078","0","","",
"2660169113001","Ramirez explica explosión en Amuay","Ramirez explica explosión en Amuay","","1378750548965","1378750548965","1378750704015","","","","http://brightcove.vo.llnwd.net/e1/pd/986049905001/986049905001_2660175312001_vs-522e1054e4b005116efde2e0-1592194044001.jpg?pubId=986049905001","http://brightcove.vo.llnwd.net/e1/pd/986049905001/986049905001_2660175313001_th-522e1054e4b005116efde2e0-1592194044001.jpg?pubId=986049905001","","280080","AD_SUPPORTED","287","0","","",
